,split,BUY_count,HOLD_count,SELL_count,BUY_pct,HOLD_pct,SELL_pct
0,train,513,126,763,36.59058487874465,8.98716119828816,54.42225392296719
1,val,12,34,392,2.73972602739726,7.76255707762557,89.49771689497716
2,test,10,241,370,1.610305958132045,38.808373590982285,59.58132045088567
